country_code,indicator,year,weeknum,last_year,country,continent,population,weekly_count,year_week,cumulative_count,source,rate_14_day,log_scale
BOL,deaths,2021,52,True,Bolivia,America,11673029,123.0,2021-52,19576.0,Epidemic intelligence national data,11.6507891824821,1.066355343901868
BRA,cases,2021,52,True,Brazil,America,212559409,45981.0,2021-52,22246276.0,Epidemic intelligence national data,15.2964294325828,1.1845900675041436
BRA,deaths,2021,52,True,Brazil,America,212559409,1552.0,2021-52,618534.0,Epidemic intelligence national data,3.43903854192594,0.5364370430659685
BRB,cases,2021,52,True,Barbados,America,287371,378.0,2021-52,29160.0,Epidemic intelligence national data,667.429907680316,2.8244056635856443
BRB,deaths,2021,52,True,Barbados,America,287371,3.0,2021-52,262.0,Epidemic intelligence national data,20.8789335040766,1.3197083111346426
BRN,cases,2021,52,True,Brunei Darussalam,Asia,437483,28.0,2021-52,15461.0,Epidemic intelligence national data,19.4293263966828,1.2884577441265594
BRN,deaths,2021,52,True,Brunei Darussalam,Asia,437483,0.0,2021-52,57.0,Epidemic intelligence national data,0.0,-inf
BTN,cases,2021,52,True,Bhutan,Asia,771612,8.0,2021-52,2660.0,Epidemic intelligence national data,0.388796441734965,-0.41027771839067373
BTN,deaths,2021,52,True,Bhutan,Asia,771612,0.0,2021-52,3.0,Epidemic intelligence national data,0.0,-inf
BWA,cases,2021,52,True,Botswana,Africa,2351625,3774.0,2021-52,219509.0,Epidemic intelligence national data,835.37979057035,2.921883964644756
BWA,deaths,2021,52,True,Botswana,Africa,2351625,4.0,2021-52,2444.0,Epidemic intelligence national data,8.0795194812098,0.9073855324497602
CAF,cases,2021,52,True,Central African Republic,Africa,4829764,0.0,2021-52,12163.0,Epidemic intelligence national data,4.18239897435982,0.6214254593994162
CAF,deaths,2021,52,True,Central African Republic,Africa,4829764,0.0,2021-52,101.0,Epidemic intelligence national data,0.0,-inf
CAN,cases,2021,52,True,Canada,America,37742157,45093.0,2021-52,2142310.0,Epidemic intelligence national data,679.07618528533,2.8319185003378675
CAN,deaths,2021,52,True,Canada,America,37742157,109.0,2021-52,30280.0,Epidemic intelligence national data,6.09398132703438,0.7849011191386479
CHE,cases,2021,52,True,Switzerland,Europe,8606033,34623.0,2021-52,1371038.0,Epidemic intelligence national data,2336.38425509175,3.3685442708642617
CHE,deaths,2021,52,True,Switzerland,Europe,8606033,77.0,2021-52,11922.0,Epidemic intelligence national data,45.8980345532024,1.6617940885661397
CHL,cases,2021,52,True,Chile,America,19116209,8737.0,2021-52,1811297.0,Epidemic intelligence national data,96.2272383609114,1.9832980220943608
CHL,deaths,2021,52,True,Chile,America,19116209,169.0,2021-52,39173.0,Epidemic intelligence national data,15.0657486534072,1.1779907176864468
CHN,cases,2021,52,True,China,Asia,1439323774,644.0,2021-52,115409.0,Epidemic intelligence national data,0.168134511755796,-0.7743431329214373
CHN,deaths,2021,52,True,China,Asia,1439323774,0.0,2021-52,4849.0,Epidemic intelligence national data,0.0,-inf
CIV,cases,2021,52,True,Cote Divoire,Africa,26378275,181.0,2021-52,71815.0,Epidemic intelligence national data,36.9167430394899,1.5672233786385072
CIV,deaths,2021,52,True,Cote Divoire,Africa,26378275,0.0,2021-52,718.0,Epidemic intelligence national data,0.454919815643745,-0.3420651455237434
CMR,cases,2021,52,True,Cameroon,Africa,26545864,113.0,2021-52,109367.0,Epidemic intelligence national data,6.42284613527742,0.807727518246334
CMR,deaths,2021,52,True,Cameroon,Africa,26545864,13.0,2021-52,1851.0,Epidemic intelligence national data,0.565059777297134,-0.24790560602650105
COD,cases,2021,52,True,Democratic Republic Of The Congo,Africa,89561404,7447.0,2021-52,77119.0,Epidemic intelligence national data,10.9656610564077,1.040034817910151
COD,deaths,2021,52,True,Democratic Republic Of The Congo,Africa,89561404,8.0,2021-52,1225.0,Epidemic intelligence national data,1.1053868695493,0.04351430146508645
COG,cases,2021,52,True,Congo,Africa,5518092,113.0,2021-52,21277.0,Epidemic intelligence national data,38.0203882066482,1.5800165469098668
COG,deaths,2021,52,True,Congo,Africa,5518092,6.0,2021-52,369.0,Epidemic intelligence national data,0.724888240355543,-0.13972894561970944
COL,cases,2021,52,True,Colombia,America,50882884,13201.0,2021-52,5191021.0,Epidemic intelligence national data,161.152422099345,2.2072368372853695
COL,deaths,2021,52,True,Colombia,America,50882884,324.0,2021-52,130061.0,Epidemic intelligence national data,11.2808071177727,1.0523401736060918
COM,cases,2021,52,True,Comoros,Africa,869595,108.0,2021-52,6907.0,Epidemic intelligence national data,256.441216888322,2.4089878290704894
COM,deaths,2021,52,True,Comoros,Africa,869595,1.0,2021-52,158.0,Epidemic intelligence national data,6.89976368309385,0.8388342164059713
CPV,cases,2021,52,True,Cape Verde,Africa,555988,86.0,2021-52,43567.0,Epidemic intelligence national data,895.343064958237,2.9519894740538684
CPV,deaths,2021,52,True,Cape Verde,Africa,555988,0.0,2021-52,352.0,Epidemic intelligence national data,1.79859996978352,0.2549345817812935
CRI,cases,2021,52,True,Costa Rica,America,5094114,314.0,2021-52,570556.0,Epidemic intelligence national data,39.6143470680083,1.5978525021886958
CRI,deaths,2021,52,True,Costa Rica,America,5094114,7.0,2021-52,7353.0,Epidemic intelligence national data,2.55196487554067,0.4068746925946402
CUB,cases,2021,52,True,Cuba,America,11326616,483.0,2021-52,967498.0,Epidemic intelligence national data,29.3291482645832,1.4672994510009196
CUB,deaths,2021,52,True,Cuba,America,11326616,2.0,2021-52,8324.0,Epidemic intelligence national data,0.794588604398701,-0.09985766767513159
CUW,cases,2021,52,True,Curaçao,America,164100,218.0,2021-52,22962.0,Epidemic intelligence national data,3141.37720901889,3.497120088566442
CUW,deaths,2021,52,True,Curaçao,America,164100,2.0,2021-52,189.0,Epidemic intelligence national data,30.4692260816575,1.4838614232829253
CYM,cases,2021,52,True,Cayman Islands,America,65720,374.0,2021-52,8943.0,Epidemic intelligence national data,1062.08155812538,3.0261578678601366
CYM,deaths,2021,52,True,Cayman Islands,America,65720,0.0,2021-52,12.0,Epidemic intelligence national data,45.6482045039562,1.6594236999566385
CYP,cases,2021,52,True,Cyprus,Europe,888005,20154.0,2021-52,169848.0,TESSy COVID-19,2917.88897585036,3.4650687631938775
CYP,deaths,2021,52,True,Cyprus,Europe,888005,15.0,2021-52,767.0,TESSy COVID-19,28.1529946340392,1.449524597548508
CZE,cases,2021,52,True,Czechia,Europe,10693939,35841.0,2021-52,2483794.0,TESSy COVID-19,714.853525908461,2.854217063610284
CZE,deaths,2021,52,True,Czechia,Europe,10693939,379.0,2021-52,36301.0,TESSy COVID-19,83.7857780935538,1.923170307178424
DEU,cases,2021,52,True,Germany,Europe,83166711,203028.0,2021-52,7217639.0,TESSy COVID-19,477.366478999031,2.6788519192855818
DEU,deaths,2021,52,True,Germany,Europe,83166711,1935.0,2021-52,112222.0,Epidemic intelligence national data,46.5330413270762,1.6677614382715473
DJI,cases,2021,52,True,Djibouti,Africa,988002,21.0,2021-52,13685.0,Epidemic intelligence national data,15.1821555017095,1.1813334353303153
DJI,deaths,2021,52,True,Djibouti,Africa,988002,0.0,2021-52,189.0,Epidemic intelligence national data,0.0,-inf
DMA,cases,2021,52,True,Dominica,America,71991,197.0,2021-52,6559.0,Epidemic intelligence national data,179.189065299829,2.2533115040714264
DMA,deaths,2021,52,True,Dominica,America,71991,2.0,2021-52,45.0,Epidemic intelligence national data,13.890625217041,1.1427217937721772
DNK,cases,2021,52,True,Denmark,Europe,5822763,119648.0,2021-52,821286.0,TESSy COVID-19,3350.35102751048,3.5250903119097425
DNK,deaths,2021,52,True,Denmark,Europe,5822763,104.0,2021-52,3292.0,Epidemic intelligence national data,35.7218729321458,1.552934221290746
DOM,cases,2021,52,True,Dominican Republic,America,10847904,1471.0,2021-52,424809.0,Epidemic intelligence national data,119.156659203474,2.0761183183946716
DOM,deaths,2021,52,True,Dominican Republic,America,10847904,4.0,2021-52,4251.0,Epidemic intelligence national data,2.58114378593321,0.41181219815023634
DZA,cases,2021,52,True,Algeria,Africa,43851043,1678.0,2021-52,217265.0,Epidemic intelligence national data,6.69311332001841,0.8256281780353338
DZA,deaths,2021,52,True,Algeria,Africa,43851043,43.0,2021-52,6254.0,Epidemic intelligence national data,1.68753112668267,0.22725179218267794
ECU,cases,2021,52,True,Ecuador,America,17643060,3575.0,2021-52,553201.0,Epidemic intelligence national data,91.6451001130189,1.962109249977293
ECU,deaths,2021,52,True,Ecuador,America,17643060,36.0,2021-52,33686.0,Epidemic intelligence national data,5.04447641168822,0.7028160955847891
EGY,cases,2021,52,True,Egypt,Africa,102334403,6132.0,2021-52,387159.0,Epidemic intelligence national data,11.5591625623692,1.062926371479308
EGY,deaths,2021,52,True,Egypt,Africa,102334403,301.0,2021-52,21797.0,Epidemic intelligence national data,4.2605417847603,0.6294648289550073
ERI,cases,2021,52,True,Eritrea,Africa,3546427,117.0,2021-52,7773.0,Epidemic intelligence national data,0.281973941660155,-0.5497910247164915
ERI,deaths,2021,52,True,Eritrea,Africa,3546427,7.0,2021-52,76.0,Epidemic intelligence national data,1.69184364996093,0.22836022566715208
ESH,cases,2021,52,True,Western Sahara,Africa,597330,0.0,2021-52,766.0,Epidemic intelligence national data,0.0,-inf
ESH,deaths,2021,52,True,Western Sahara,Africa,597330,0.0,2021-52,1.0,Epidemic intelligence national data,0.0,-inf
ESP,cases,2021,52,True,Spain,Europe,47332614,630190.0,2021-52,6659275.0,TESSy COVID-19,2280.72761838169,3.3580734216653854
ESP,deaths,2021,52,True,Spain,Europe,47332614,231.0,2021-52,89553.0,TESSy COVID-19,12.1058177771462,1.082994132406907
EST,cases,2021,52,True,Estonia,Europe,1328976,6140.0,2021-52,232949.0,TESSy COVID-19,807.764775285634,2.907284910690093
EST,deaths,2021,52,True,Estonia,Europe,1328976,27.0,2021-52,1938.0,Epidemic intelligence national data,40.632787951024,1.6088766217407942
ETH,cases,2021,52,True,Ethiopia,Africa,114963583,3260.0,2021-52,426656.0,Epidemic intelligence national data,43.7364587010132,1.6408436157187445
ETH,deaths,2021,52,True,Ethiopia,Africa,114963583,37.0,2021-52,6958.0,Epidemic intelligence national data,0.800253415901277,-0.09677246338325635
FIN,cases,2021,52,True,Finland,Europe,5525292,23487.0,2021-52,260292.0,Epidemic intelligence national data,850.163213093534,2.929502308939583
FIN,deaths,2021,52,True,Finland,Europe,5525292,55.0,2021-52,1564.0,Epidemic intelligence national data,19.9084500873438,1.2990374506494513
